step,loss,loss_parts,val_loss,val_ppl,erank_last,lr,tok_per_s
6000,1.55333,"{""ntp"": 1.4811242818832397, ""jepa_pertoken"": 0.0628117099404335, ""jepa_pooled"": 0.009393786080181599}",1.49030,4.43843,209.11,5.01e-04,164165
6500,1.55507,"{""ntp"": 1.4840095043182373, ""jepa_pertoken"": 0.0618734210729599, ""jepa_pooled"": 0.009188595227897167}",1.47618,4.37620,203.44,4.83e-04,164187
7000,1.53621,"{""ntp"": 1.4692833423614502, ""jepa_pertoken"": 0.058597106486558914, ""jepa_pooled"": 0.008330726064741611}",1.46741,4.33797,207.11,4.65e-04,164206
7500,1.47658,"{""ntp"": 1.4142096042633057, ""jepa_pertoken"": 0.05492233484983444, ""jepa_pooled"": 0.007443600799888372}",1.44915,4.25950,206.41,4.46e-04,164221
8000,1.46342,"{""ntp"": 1.4022544622421265, ""jepa_pertoken"": 0.05385272204875946, ""jepa_pooled"": 0.007312316447496414}",1.43790,4.21183,205.62,4.26e-04,164238
8500,1.47084,"{""ntp"": 1.4090261459350586, ""jepa_pertoken"": 0.05436339229345322, ""jepa_pooled"": 0.0074500334449112415}",1.42795,4.17016,204.71,4.05e-04,164246
9000,1.44813,"{""ntp"": 1.390034794807434, ""jepa_pertoken"": 0.051329001784324646, ""jepa_pooled"": 0.006765428930521011}",1.42100,4.14127,208.30,3.84e-04,164257
9500,1.43184,"{""ntp"": 1.3744072914123535, ""jepa_pertoken"": 0.050776392221450806, ""jepa_pooled"": 0.00666019506752491}",1.41050,4.09802,202.95,3.63e-04,164260
10000,1.49214,"{""ntp"": 1.4345874786376953, ""jepa_pertoken"": 0.05094155669212341, ""jepa_pooled"": 0.0066086649894714355}",1.40092,4.05895,206.14,3.41e-04,164265
10500,1.44138,"{""ntp"": 1.3847336769104004, ""jepa_pertoken"": 0.05013430491089821, ""jepa_pooled"": 0.006513427477329969}",1.39271,4.02573,207.04,3.19e-04,164271
11000,1.52030,"{""ntp"": 1.4626816511154175, ""jepa_pertoken"": 0.051092907786369324, ""jepa_pooled"": 0.006525191478431225}",1.38538,3.99634,204.52,2.97e-04,164273
11500,1.43960,"{""ntp"": 1.3852040767669678, ""jepa_pertoken"": 0.048285339027643204, ""jepa_pooled"": 0.006112744566053152}",1.37597,3.95890,204.05,2.76e-04,164273
12000,1.35116,"{""ntp"": 1.2983049154281616, ""jepa_pertoken"": 0.046940770000219345, ""jepa_pooled"": 0.005918690003454685}",1.36952,3.93346,198.68,2.55e-04,164275
12500,1.33334,"{""ntp"": 1.2807559967041016, ""jepa_pertoken"": 0.04671023041009903, ""jepa_pooled"": 0.0058785672299563885}",1.36318,3.90859,203.11,2.34e-04,164271
13000,1.34202,"{""ntp"": 1.2894103527069092, ""jepa_pertoken"": 0.046701155602931976, ""jepa_pooled"": 0.005905593279749155}",1.35676,3.88360,198.85,2.14e-04,164277
13500,1.40807,"{""ntp"": 1.3559077978134155, ""jepa_pertoken"": 0.04642389714717865, ""jepa_pooled"": 0.005738410167396069}",1.35182,3.86445,199.29,1.95e-04,164276
14000,1.27129,"{""ntp"": 1.2199934720993042, ""jepa_pertoken"": 0.04556724801659584, ""jepa_pooled"": 0.005727252922952175}",1.34621,3.84282,194.83,1.77e-04,164280
14500,1.29875,"{""ntp"": 1.2474316358566284, ""jepa_pertoken"": 0.045627884566783905, ""jepa_pooled"": 0.0056877825409173965}",1.34039,3.82053,198.29,1.59e-04,164280
15000,1.41568,"{""ntp"": 1.3633960485458374, ""jepa_pertoken"": 0.04654865711927414, ""jepa_pooled"": 0.005736270919442177}",1.33527,3.80104,200.18,1.43e-04,164281
15500,1.36081,"{""ntp"": 1.3084536790847778, ""jepa_pertoken"": 0.046516381204128265, ""jepa_pooled"": 0.0058440836146473885}",1.33065,3.78352,196.63,1.28e-04,164280
16000,1.34775,"{""ntp"": 1.2958167791366577, ""jepa_pertoken"": 0.04617738723754883, ""jepa_pooled"": 0.0057594082318246365}",1.32716,3.77030,199.21,1.14e-04,164278
16500,1.28116,"{""ntp"": 1.2305365800857544, ""jepa_pertoken"": 0.04503823444247246, ""jepa_pooled"": 0.005584553815424442}",1.32250,3.75278,199.09,1.02e-04,164277
17000,1.34744,"{""ntp"": 1.2963086366653442, ""jepa_pertoken"": 0.04549187421798706, ""jepa_pooled"": 0.005641287658363581}",1.31939,3.74113,194.52,9.09e-05,164273
17500,1.29245,"{""ntp"": 1.2424123287200928, ""jepa_pertoken"": 0.04454364627599716, ""jepa_pooled"": 0.0054979342967271805}",1.31757,3.73435,200.42,8.16e-05,164274
18000,1.34598,"{""ntp"": 1.2948143482208252, ""jepa_pertoken"": 0.04554237425327301, ""jepa_pooled"": 0.005622352939099073}",1.31341,3.71884,197.98,7.39e-05,164273
18500,1.31219,"{""ntp"": 1.2607743740081787, ""jepa_pertoken"": 0.04577244818210602, ""jepa_pooled"": 0.005647262092679739}",1.31166,3.71232,194.64,6.78e-05,164272
19000,1.27644,"{""ntp"": 1.2263002395629883, ""jepa_pertoken"": 0.044654011726379395, ""jepa_pooled"": 0.0054874359630048275}",1.30848,3.70055,197.11,6.35e-05,164270
19500,1.34013,"{""ntp"": 1.2894548177719116, ""jepa_pertoken"": 0.04510943591594696, ""jepa_pooled"": 0.0055611091665923595}",1.30792,3.69848,199.60,6.09e-05,164270
20000,1.30822,"{""ntp"": 1.2581686973571777, ""jepa_pertoken"": 0.04456222802400589, ""jepa_pooled"": 0.005486685317009687}",1.30558,3.68983,196.60,6.00e-05,164272
